pl_name,pl_bmassj,pl_orbper,discoverymethod
"KELT-15 b",1.31000000,3.32944000000,"Transit"
"Kepler-1130 b",0.00137000,5.45298175000,"Transit"
"K2-290 c",0.77400000,48.36685000000,"Transit"
"TOI-7008 b",0.06820000,0.84069041367,"Transit"
"Kepler-1367 b",0.00227000,1.57409027200,"Transit"
"DMPP-2 c",0.16294956,3.16800000000,"Radial Velocity"
"Kepler-1716 b",0.02030000,35.58100128000,"Transit"
"TOI-1716.01",0.03160000,8.08237655400,"Transit"
"Kepler-1038 c",0.00816000,7.12765979800,"Transit"
"TOI-5159 b",0.00948000,5.83639428843,"Transit"
"HD 109271 c",0.07600000,30.93000000000,"Radial Velocity"
"K2-202 b",0.01860000,3.40516400000,"Transit"
"HATS-41 b",9.70000000,4.19364900000,"Transit"
"HD 45350 b",1.79000000,963.60000000000,"Radial Velocity"
"GJ 3323 b",0.00635560,5.36360000000,"Radial Velocity"
"Kepler-682 b",0.13400000,12.61190667200,"Transit"
"HD 284149 AB b",26.28000000,,"Imaging"
"HATS-77 b",1.37400000,3.08762620000,"Transit"
"WASP-142 b",0.84000000,2.05286800000,"Transit"
"Kepler-597 b",0.01950000,13.02365861000,"Transit"
"HD 29021 b",4.47000000,1365.00000000000,"Radial Velocity"
"GJ 682 b",0.01384388,17.47800000000,"Radial Velocity"
"HD 168443 c",17.30600000,1753.10960000000,"Radial Velocity"
"WASP-53 b",2.13200000,3.30984430000,"Transit"
"Kepler-1857 b",0.01420000,8.94340992000,"Transit"
"Kepler-342 c",0.01420000,26.23413800000,"Transit"
"Kepler-1251 b",0.01270000,45.09046430000,"Transit"
"TOI-5624 f",0.04090257,45.37000000000,"Transit Timing Variations"
"OGLE-2015-BLG-1649L b",2.54000000,,"Microlensing"
"Kepler-242 b",0.02300000,8.20395000000,"Transit"
"TOI-220 b",0.04341966,10.69526400000,"Transit"
"Kepler-374 d",0.00714000,5.02821900000,"Transit"
"Kepler-1870 b",0.01590000,3.60694003100,"Transit"
"Kepler-258 b",0.04880000,13.19722000000,"Transit"
"WASP-8 b",2.54000000,8.15872000000,"Transit"
"Kepler-1339 b",0.00089600,1.34155512700,"Transit"
"HD 106252 b",10.00000000,1535.00000000000,"Radial Velocity"
"HD 102956 b",0.96000000,6.49470000000,"Radial Velocity"
"K2-128 b",0.00819000,5.67581900000,"Transit"
"TOI-139 b",0.02080000,11.07085000000,"Transit"
"GJ 508.2 b",1.85000000,5300.00000000000,"Radial Velocity"
"Kepler-244 b",0.02530000,4.31179200000,"Transit"
"TOI-4087 b",0.73000000,3.17748350000,"Transit"
"OGLE-2015-BLG-1771L b",0.43300000,,"Microlensing"
"HAT-P-66 b",0.78300000,2.97208600000,"Transit"
"DMPP-9 b",0.04540186,12.73300000000,"Radial Velocity"
"TOI-4898 b",0.04200000,2.76520470167,"Transit"
"HD 101581 c",0.00295000,6.20401000000,"Transit"
"Kepler-1292 b",0.01250000,3.27646405000,"Transit"
"Kepler-1906 b",0.02560000,7.36268997200,"Transit"
"GJ 876 e",0.04600000,124.26000000000,"Radial Velocity"
"TOI-1052 c",0.10791987,35.80600000000,"Radial Velocity"
"HAT-P-29 b",0.88000000,5.72319000000,"Transit"
"YZ Cet c",0.00358684,3.05989000000,"Radial Velocity"
"Kepler-434 b",2.86000000,12.87470990000,"Transit"
"HD 11755 b",5.63000000,433.70001000000,"Radial Velocity"
"Kepler-1471 b",0.00809000,3.63899398000,"Transit"
"HD 128717 b",19.80000000,3420.00000000000,"Astrometry"
"HAT-P-46 b",0.49300000,4.46312900000,"Transit"
"TOI-1244 b",0.02076592,6.40031648300,"Transit"
"HD 39855 b",0.02674386,3.24980000000,"Radial Velocity"
"BD-11 4672 c",0.04835919,74.20000000000,"Radial Velocity"
"Kepler-1442 b",0.04610000,81.41629410000,"Transit"
"Kepler-292 d",0.01760000,7.05567900000,"Transit"
"HD 47186 c",0.35061000,1353.60000000000,"Radial Velocity"
"Kepler-692 b",0.03100000,21.81293494000,"Transit"
"EPIC 206042996 b",0.01110000,5.29860000000,"Transit"
"OGLE-2012-BLG-0358L b",1.85000000,,"Microlensing"
"Kepler-1193 b",0.00724000,2.83265213400,"Transit"
"HD 75784 c",5.64000000,7900.00000000000,"Radial Velocity"
"Kepler-838 b",0.02490000,15.74957994000,"Transit"
"81 Cet b",3.30700000,1005.57000000000,"Radial Velocity"
"Kepler-1058 b",0.02470000,110.96546000000,"Transit"
"TOI-4214 b",0.52000000,3.49138850000,"Transit"
"Kepler-391 b",3.46098705,7.41750000000,"Transit"
"Kepler-698 b",0.04130000,16.32976218000,"Transit"
"TOI-3877 b",0.31400000,4.12359600000,"Transit"
"Kepler-409 b",0.01887811,68.95832160000,"Transit"
"Kepler-273 b",0.00899000,2.93653200000,"Transit"
"Kepler-636 b",0.05700000,16.08066114700,"Transit"
"Kepler-1914 b",0.02820000,30.82789993000,"Transit"
"HD 200964 b",1.59900000,606.30000000000,"Radial Velocity"
"pi Men c",0.01142126,6.26783990000,"Transit"
"Kepler-150 c",0.04150000,7.38199800000,"Transit"
"HATS-43 b",0.26100000,4.38884970000,"Transit"
"TOI-1437 b",0.03020498,18.84094200000,"Transit"
"Kepler-685 b",0.24800000,1.62552220000,"Transit"
"K2-89 b",0.00053500,1.09602600000,"Transit"
"WASP-49 b",0.37000000,2.78174000000,"Transit"
"Kepler-1699 b",0.00968000,3.49082000000,"Transit"
