pl_name,pl_bmassj,pl_bmasse,pl_orbper,discoverymethod
"Kepler-879 b",0.02240000,7.13000000,33.38559380000,"Transit"
"Kepler-865 b",0.02130000,6.76000000,14.16399294000,"Transit"
"Kepler-415 b",0.37700000,119.90000000,4.17600000000,"Transit Timing Variations"
"Kepler-338 e",0.02700000,8.50000000,9.34100000000,"Transit Timing Variations"
"Kepler-33 e",0.01752509,5.57000000,31.78440000000,"Transit"
"Kepler-33 b",0.01160000,3.68000000,5.66793000000,"Transit"
"Kepler-46 c",0.37600000,119.49900000,57.01100000000,"Transit Timing Variations"
"Kepler-318 b",0.06270000,19.90000000,4.66271500000,"Transit"
"Kepler-314 b",0.00157000,0.49800000,2.46106900000,"Transit"
"Kepler-46 b",6.00000000,1907.00000000,33.60134000000,"Transit"
"USco CTIO 108 b",14.00000000,4449.62000000,,"Imaging"
"Kepler-130 c",0.02750000,8.75000000,27.50868000000,"Transit"
"Kepler-418 b",1.10000000,349.61124770,86.67856000000,"Transit"
"Kepler-33 f",0.03020483,9.60000000,41.02902000000,"Transit"
"Kepler-33 d",0.01230217,3.91000000,21.77596000000,"Transit"
"HD 155358 c",0.82000000,261.00000000,391.90000000000,"Radial Velocity"
"Kepler-52 b",0.42475750,135.00000000,7.87735650000,"Transit"
"Kepler-603 c",0.10800000,34.50000000,127.90757740000,"Transit"
"Kepler-952 b",0.14300000,45.40000000,130.35469190000,"Transit"
"Kepler-347 c",0.01170000,3.71000000,27.32087100000,"Transit"
"Kepler-158 c",0.01340000,4.27000000,28.55138300000,"Transit"
"HAT-P-53 b",1.48400000,471.65972000,1.96162410000,"Transit"
"HIP 74890 b",2.40000000,762.79200000,822.30000000000,"Radial Velocity"
"V0391 Peg b",3.20000000,1017.05600000,1170.00000000000,"Pulsation Timing Variations"
"HD 197037 b",0.79000000,251.00000000,1035.70000000000,"Radial Velocity"
"CFBDSIR J145829+101343 b",10.50000000,3337.10000000,10037.50000000000,"Imaging"
"Kepler-269 b",0.02100000,6.66000000,5.32671800000,"Transit"
"Kepler-300 c",0.01790000,5.69000000,40.71495500000,"Transit"
"Kepler-149 d",0.04670000,14.90000000,160.01803200000,"Transit"
"Kepler-124 d",0.00444000,1.41000000,30.95085100000,"Transit"
"Kepler-276 d",0.05100000,16.30000000,48.64800000000,"Transit"
"Kepler-114 c",0.00900000,2.80000000,8.04100000000,"Transit"
"XO-2 S c",1.37000000,435.40900000,120.80000000000,"Radial Velocity"
"Kepler-93 c",3.00000000,954.00000000,1460.00000000000,"Radial Velocity"
"WASP-83 b",0.30000000,95.34900000,4.97125200000,"Transit"
"WASP-89 b",5.90000000,1875.19700000,3.35642270000,"Transit"
"Kepler-402 c",0.00961000,3.05000000,6.12482100000,"Transit"
"Kepler-157 b",0.00724000,2.30000000,1.73234200000,"Transit"
"HATS-6 b",0.31900000,101.38777000,3.32527250000,"Transit"
"Kepler-450 c",0.03932920,12.50000000,15.41313500000,"Transit"
"Kepler-81 c",0.01400000,4.30000000,12.04000000000,"Transit"
"Kepler-412 b",0.94100000,299.07803000,1.72086040000,"Transit"
